Dates,Infected,Vaccinated,Recovered,Deaths
7/19/2020,14302.0,583.0,3989.0,119.0
7/20/2020,14873.0,600.0,4149.0,119.0
7/21/2020,15266.0,621.0,4335.0,122.0
7/22/2020,15822.0,656.0,4504.0,126.0
7/23/2020,16322.0,674.0,4746.0,135.0
7/24/2020,16736.0,697.0,5008.0,138.0
7/25/2020,17264.0,709.0,5251.0,144.0
7/26/2020,17827.0,723.0,5483.0,146.0
7/27/2020,18177.0,741.0,5731.0,146.0
7/28/2020,18694.0,750.0,5964.0,152.0
7/29/2020,19222.0,783.0,6203.0,160.0
7/30/2020,19679.0,808.0,6472.0,173.0
7/31/2020,20246.0,835.0,6744.0,177.0
8/1/2020,20721.0,850.0,6998.0,189.0
8/2/2020,21114.0,856.0,7146.0,197.0
8/3/2020,21344.0,874.0,7370.0,197.0
8/4/2020,21675.0,886.0,7617.0,200.0
8/5/2020,22234.0,906.0,7875.0,210.0
8/6/2020,22707.0,931.0,8207.0,217.0
8/7/2020,23399.0,954.0,8486.0,223.0
8/8/2020,23922.0,968.0,8738.0,229.0
8/9/2020,24495.0,988.0,8921.0,235.0
8/10/2020,24671.0,999.0,9157.0,237.0
8/11/2020,25100.0,1006.0,9341.0,239.0
8/12/2020,25595.0,1037.0,9548.0,246.0
8/13/2020,26133.0,1051.0,9850.0,246.0
8/14/2020,26631.0,1068.0,10089.0,251.0
8/15/2020,27173.0,1091.0,10369.0,265.0
8/16/2020,27477.0,1103.0,10616.0,269.0
8/17/2020,27660.0,1110.0,10883.0,269.0
8/18/2020,27942.0,1129.0,11093.0,273.0
8/19/2020,28326.0,1170.0,11397.0,282.0
8/20/2020,28696.0,1200.0,11733.0,291.0
8/21/2020,29120.0,1226.0,12007.0,298.0
8/22/2020,29369.0,1233.0,12359.0,304.0
8/23/2020,29662.0,1246.0,12606.0,306.0
8/24/2020,29853.0,1256.0,12867.0,307.0
8/25/2020,30070.0,1269.0,13081.0,314.0
8/26/2020,30475.0,1285.0,13353.0,326.0
8/27/2020,30780.0,1304.0,13657.0,337.0
8/28/2020,31122.0,1328.0,13928.0,343.0
8/29/2020,31384.0,1349.0,14175.0,353.0
8/30/2020,31677.0,1365.0,14490.0,358.0
8/31/2020,31867.0,1369.0,14712.0,359.0
9/1/2020,32088.0,1394.0,14963.0,361.0
9/2/2020,32368.0,1394.0,15212.0,368.0
9/3/2020,32664.0,1435.0,15585.0,372.0
9/4/2020,32927.0,1442.0,15787.0,372.0
9/5/2020,33196.0,1461.0,16071.0,382.0
9/6/2020,33477.0,1466.0,16339.0,384.0
9/7/2020,33667.0,1466.0,16554.0,385.0
9/8/2020,33741.0,1468.0,16760.0,385.0
9/9/2020,33981.0,1502.0,16956.0,389.0
9/10/2020,34310.0,1536.0,17304.0,406.0
9/11/2020,34617.0,1551.0,17599.0,407.0
9/12/2020,34950.0,1569.0,18052.0,412.0
9/13/2020,35167.0,1596.0,18406.0,415.0
9/14/2020,35279.0,1604.0,18619.0,415.0
9/15/2020,35532.0,1612.0,18826.0,419.0
9/16/2020,35810.0,1631.0,19075.0,423.0
9/17/2020,36093.0,1658.0,19405.0,429.0
9/18/2020,36489.0,1682.0,19691.0,434.0
9/19/2020,36959.0,1701.0,19915.0,438.0
9/20/2020,37247.0,1711.0,20105.0,441.0
